Country,Area,Location,Address
USA,California,"Oceanside, San Diego County","Oceanside, San Diego County, California, USA"
USA,Georgia,"St. Simon Island, Glynn County","St. Simon Island, Glynn County, Georgia, USA"
USA,Hawaii,"Habush, Oahu","Habush, Oahu, Hawaii, USA"
USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County","Lighhouse Point Park, Ponce Inlet, Volusia County, Florida, USA"
USA,Florida,"Cocoa Beach, Brevard  County","Cocoa Beach, Brevard  County, Florida, USA"
USA,Florida,"Daytona Beach, Volusia County","Daytona Beach, Volusia County, Florida, USA"
USA,South Carolina,"Isle of Palms,  Charleston County","Isle of Palms,  Charleston County, South Carolina, USA"
USA,South Carolina,"Hilton Head Island, Beaufort County","Hilton Head Island, Beaufort County, South Carolina, USA"
USA,Hawaii,"ShipwreckÃ¯Â¿Â½s Beach, Keoneloa Bay, Kauai","ShipwreckÃ¯Â¿Â½s Beach, Keoneloa Bay, Kauai, Hawaii, USA"
USA,Hawaii,Kukio Beach,"Kukio Beach, Hawaii, USA"
USA,Hawaii,"Hultin's Beach, Oahu","Hultin's Beach, Oahu, Hawaii, USA"
USA,California,"Drakes Estero, Point Reyes, Marin County","Drakes Estero, Point Reyes, Marin County, California, USA"
USA,California,"Stillwater Cove, Monterey County","Stillwater Cove, Monterey County, California, USA"
USA,Florida,"Floridana Beach, Brevard County","Floridana Beach, Brevard County, Florida, USA"
USA,Hawaii,"White Plains Beach, Oahu","White Plains Beach, Oahu, Hawaii, USA"
USA,Florida,"Juno Beach, Palm Beach County","Juno Beach, Palm Beach County, Florida, USA"
USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County","Ocean Reef Park, Singer Island, Palm Beach County, Florida, USA"
USA,Florida,"Lantana Beach, Palm Beach County","Lantana Beach, Palm Beach County, Florida, USA"
USA,Hawaii,"Davidsons Beach, Kekaha, Kauai","Davidsons Beach, Kekaha, Kauai, Hawaii, USA"
USA,Hawaii,"KamaÃ¯Â¿Â½ole Beach Park, Maui ","KamaÃ¯Â¿Â½ole Beach Park, Maui , Hawaii, USA"
USA,Florida,"Hanna Park, Jacksonville, Duval County","Hanna Park, Jacksonville, Duval County, Florida, USA"
USA,New York,Rockaway,"Rockaway, New York, USA"
USA,Florida,Lake Worth,"Lake Worth, Florida, USA"
USA,Florida,Palm Beach County,"Palm Beach County, Florida, USA"
USA,Florida,"Ponce Inlet, Volusia County","Ponce Inlet, Volusia County, Florida, USA"
USA,Florida,"Ponce Inlet, Volusia County","Ponce Inlet, Volusia County, Florida, USA"
USA,Florida,"Marathon, Monroe County","Marathon, Monroe County, Florida, USA"
USA,Texas,"South Padre Island, Cameron County","South Padre Island, Cameron County, Texas, USA"
USA,Florida,"New Smyrna Beach, Volusia County","New Smyrna Beach, Volusia County, Florida, USA"
USA,Florida,Bathtub Beach ,"Bathtub Beach , Florida, USA"
USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County","Marconi Beach, Wellfleet, Barnstable County, Massachusetts, USA"
USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County","Sea Pines Resort, Hilton Head Island, Beaufort County, South Carolina, USA"
USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County","Menauhant Beach, Falmouth,
Barnstable County, Massachusetts, USA"
USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County","Between Pescadero Point & Bean Hollow Beach, San Mateo County, California, USA"
USA,Florida,"Jacksonvlle, Duval County","Jacksonvlle, Duval County, Florida, USA"
USA,South Carolina,"Hilton Head Island, Beaufort County","Hilton Head Island, Beaufort County, South Carolina, USA"
USA,South Carolina,"DeBordieu Colony, Georgetown County","DeBordieu Colony, Georgetown County, South Carolina, USA"
USA,New Jersey,Ventnor,"Ventnor, New Jersey, USA"
USA,Florida,"Snipes Point, Monroe County","Snipes Point, Monroe County, Florida, USA"
USA,South Carolina,"Hilton Head Island, Beaufort County","Hilton Head Island, Beaufort County, South Carolina, USA"
USA,California,"Stearns Wharf, Santa Barbara","Stearns Wharf, Santa Barbara, California, USA"
USA,California,"Seal Rock, Goleta Beach, Santa Barbara","Seal Rock, Goleta Beach, Santa Barbara, California, USA"
USA,Washington,"South Beach, Westport, Grays Harbor County","South Beach, Westport, Grays Harbor County, Washington, USA"
USA,California,"Santa Cruz, Santa Cruz County","Santa Cruz, Santa Cruz County, California, USA"
USA,Florida,"Haulover Beach, Miami-Dade County","Haulover Beach, Miami-Dade County, Florida, USA"
USA,South Carolina,Wrightsville Beach,"Wrightsville Beach, South Carolina, USA"
USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County","South Forest Beach, Hilton Head Island, Beaufort County, South Carolina, USA"
USA,Florida,"Singer Island, Palm Beach County","Singer Island, Palm Beach County, Florida, USA"
USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County","Burkes Beach, Hilton Head, Beaufort County, South Carolina, USA"
USA,Florida,"Ponce Inlet, Volusia County","Ponce Inlet, Volusia County, Florida, USA"
