Country,Area,Location
USA,California,"Oceanside, San Diego County"
USA,Georgia,"St. Simon Island, Glynn County"
USA,Hawaii,"Habush, Oahu"
USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County"
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Florida,"Daytona Beach, Volusia County"
USA,South Carolina,"Isle of Palms,  Charleston County"
USA,South Carolina,"Hilton Head Island, Beaufort County"
USA,Hawaii,"Shipwreckï¿½s Beach, Keoneloa Bay, Kauai"
USA,Hawaii,Kukio Beach
USA,Hawaii,"Hultin's Beach, Oahu"
USA,California,"Drakes Estero, Point Reyes, Marin County"
USA,California,"Stillwater Cove, Monterey County"
USA,Florida,"Floridana Beach, Brevard County"
USA,Hawaii,"White Plains Beach, Oahu"
USA,Florida,"Juno Beach, Palm Beach County"
USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County"
USA,Florida,"Lantana Beach, Palm Beach County"
USA,Hawaii,"Davidsons Beach, Kekaha, Kauai"
USA,Hawaii,"Kamaï¿½ole Beach Park, Maui "
USA,Florida,"Hanna Park, Jacksonville, Duval County"
USA,New York,Rockaway
USA,Florida,Lake Worth
USA,Florida,Palm Beach County
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"Marathon, Monroe County"
USA,Texas,"South Padre Island, Cameron County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,Bathtub Beach 
USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County"
USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County"
USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County"
USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County"
USA,Florida,"Jacksonvlle, Duval County"
USA,South Carolina,"Hilton Head Island, Beaufort County"
USA,South Carolina,"DeBordieu Colony, Georgetown County"
USA,New Jersey,Ventnor
USA,Florida,"Snipes Point, Monroe County"
USA,South Carolina,"Hilton Head Island, Beaufort County"
USA,California,"Stearns Wharf, Santa Barbara"
USA,California,"Seal Rock, Goleta Beach, Santa Barbara"
USA,Washington,"South Beach, Westport, Grays Harbor County"
USA,California,"Santa Cruz, Santa Cruz County"
USA,Florida,"Haulover Beach, Miami-Dade County"
USA,South Carolina,Wrightsville Beach
USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County"
USA,Florida,"Singer Island, Palm Beach County"
USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County"
USA,South Carolina,"Awendaw, Charleston County"
USA,Florida,Off Jupiter
USA,California,"Sunset Beach, Orange County"
USA,California,"San Onofre, San Diego County "
USA,South Carolina,"Folly Beach, Charleston County"
USA,Florida,
USA,South Carolina,Georgetown County
USA,Florida,"Daytona Beach, Volusia County"
USA,Hawaii,"Kekaha Beach, Kauai"
USA,Florida,"Hanna Park, Jacksonville, Duval County"
USA,Florida,St. Augustine
USA,Florida,"Ormond Beach, Volusia County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"Daytona, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Destin, Okaloosa County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,Monterey Bay
USA,Florida,"Melbourne Beach, Brevard County"
USA,South Carolina,16 miles off Hilton Head
USA,Florida,"Vero Beach, Indian River County"
USA,Florida,Jensen Beach
USA,Florida,"Blockhouse Beach, Brevard County"
USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Kamaole Beach Park I, Maui"
USA,Florida,"Mayport Naval Station Beach, Duval County"
USA,Florida,Mayport Naval Station  Duval County
USA,Hawaii,"Hooipa Beach Park, Maui"
USA,Hawaii,"Charlie Young Beach, Kihei, Maui"
USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County"
USA,Florida,"Ponte Vedra, St. Johns County"
USA,Hawaii,"Makaha, Oahu"
USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Refugio State Beach, Santa Barbara County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Ponte Vedra, St. Johns County"
USA,Hawaii,Maui
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Florida Keys, Monroe County"
USA,Alabama,8 miles off Mobile
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Surfside, Orange County"
USA,South Carolina,"North Myrtle Beach, Horry County"
USA,California,"Capitola, Santa Cruz County"
USA,Massachusetts,"Off Gloucester, Essec County"
USA,California,"Off Palos Verdes peninsula, Los Angeles County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,South Carolina,Sullivan's Island
USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County"
USA,South Carolina,"North Myrtle Beach, Horry County"
USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County"
USA,Hawaii,"Kalapaki Beach, Kauai"
USA,Texas,"Pirates Beach, Galveston"
USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County"
USA,South Carolina,"Folly Beach, Charleston County"
USA,Florida,"Flagler Beach, Flagler County"
USA,California,"Corona Del Mar, Newport, Orange County"
USA,Florida,"Neptune, Duval County"
USA,Florida,"Vero Beach, Indian River County"
USA,Florida,"St. Petersburg, Pinellas County"
USA,Florida,"Hugenot Beach , Jacksonville, Duval County"
USA,Florida,"Ponte Vedra, St. Johns County"
USA,Florida,"Boca Raton, Palm Beach County"
USA,Hawaii,"Wailea Beach, Maui"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Off Singer Island, Palm Beach County"
USA,Florida,"Florida Keys, Monroe County"
USA,Florida,"Corners Beach, Jupiter, Palm Beach County"
USA,Hawaii,"Olowalu, Maui"
USA,Florida,"Fort Myers Beach, Lee County"
USA,California,"Bolsa Chica State Park, Orange County"
USA,Florida,"Vero Beach, St. Lucie County"
USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County"
USA,Hawaii,"Hanalei Bay, Kauai"
USA,Hawaii,"Hanalei Bay, Kauai, "
USA,Texas,Off Surfside
USA,Hawaii,"Wailea Beach, Maui"
USA,Hawaii,La'aloa Beach Park
USA,Florida,"Playalinda Beach, Brevard County"
USA,Florida,"Palm Beach, Palm Beach County"
USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County"
USA,Florida,"Paradise Beach, Melbourne, Brevard County"
USA,Hawaii,"Kehena Beach, Hawaii"
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Hawaii,"Malaka, Oahu"
USA,Florida,"Playalinda Beach, Brevard County"
USA,Florida,"Deerfield Beach, Broward County"
USA,Hawaii,"Waikiki, "
USA,Hawaii,"Lanikai Beach, Kailua, Oahu"
USA,California,"Off Leffingwell Landing, San Luis Obispo County"
USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County"
USA,Hawaii,"Leftovers, Oahu"
USA,Florida,"Pepper Park Beach, St. Lucie County"
USA,Texas,Galveston
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Vilano Beach, St.  Johns County"
USA,California,"Horseshoe Rock, Santa Barbara County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Upolu Point, North Kohala, Big Island"
USA,Florida,"Fernandina Beach, Amelia Island, Nassau County"
USA,Florida,"Vilano Beach, St.  Johns County"
USA,California,"Gaviota State Beach, Santa Barbara County"
USA,Florida,"Big Talbot Island, Duval County"
USA,Florida,"Jacksonville Beach, Duval County"
USA,California,"El Pescador Beach, Los Angeles County"
USA,California,"Deer Creek Beach, Ventura County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,California,"Morro Strand State Beach, San Luis Obispo County"
USA,California,"Morro Bay, San Luis Obispo County"
USA,Florida,"Cocoa Beach, Brevard  County"
USA,South Carolina,"Murrells Inlet, Georgetown County"
USA,Florida,"Jacksonville Beach, Duval County"
USA,California,Santa Barbara County
USA,California,Cortes Bank
USA,Florida,"Daytona Beach, Volusia County"
USA,South Carolina,"Edisto Beach, Colleton County"
USA,California,"La Jolla, San Diego County"
USA,California,"Huntington Beach, Orange County"
USA,California,"Huntington Beach, Orange County"
USA,North Carolina,"Off Surf City, Pender County"
USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County"
USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County"
USA,North Carolina,"Rodanthe, Dare County"
USA,Florida,"Jacksonville Beach, Duval County"
USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County"
USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County"
USA,North Carolina,Surf City
USA,South Carolina,"St. Helena Island, Beaufort County"
USA,Florida,Daytona Beach Shores
USA,North Carolina,"Oak Island, Brunswick County"
USA,North Carolina,"Oak Island, Brunswick County"
USA,California,Off San Diego
USA,North Carolina,"Ocean Isle, Brunswick County"
USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County"
USA,Florida,Fort Lauderdale
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,South Carolina,Sullivan's Island
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Hawaii,Kanahena Cove 
USA,Florida,"Resident's Beach, Marco Island"
USA,Florida,"Florida Keys, Monroe County"
USA,Florida,"3 miles off Jupiter, Palm Beach County"
USA,Hawaii,Hapuna Beach
USA,Hawaii,Lahaina
USA,Florida,Off Panama City
USA,Florida,
USA,Florida,"Windsor Beach, Indian River County"
USA,California,"Montaï¿½a de Oro State Park, San Luis Obispo County "
USA,California,"Franklin Point, San Mateo County"
USA,Florida,"Indian Harbor Beach, Brevard County"
USA,Hawaii,"Airplane Beach, Lahina, West Maui"
USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County"
USA,Hawaii,"North Kohala, Hawaii County"
USA,Hawaii,"Kihei, Maui"
USA,Hawaii,"Kahului, Maui"
USA,California,"Leadbetter Beach, Santa Barbara County"
USA,Hawaii,"Maalaea, South Maui"
USA,South Carolina,"Hilton Head Island, Beaufort County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Cherie Down Park, Brevard County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,Santa Barbara County
USA,California,Santa Barbara County
USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Manresa State Beach, Santa Cruz County"
USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County"
USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County"
USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Florida,"Atlantic Beach, Duval County"
USA,Maryland,Assateague National Seashore
USA,North Carolina,"Figure Eight Island,  New Hanover County"
USA,South Carolina,"Surfside Beach, Horry  County"
USA,Florida,Apalachicola Bay 
USA,North Carolina,"Off Masonboro Island, New Hanover County"
USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County"
USA,Florida,"Hallandale Beach, Broward County"
USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County"
USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans"
USA,South Carolina,"Folly Beach, Charleston County"
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Florida,"South of Cocoa Beach, Brevard County"
USA,Florida,"Table Beach, Brevard County"
USA,North Carolina,"Sunset Beach, Brunswick County"
USA,Florida,"Indialantic, Brevard County"
USA,Hawaii,"Paia Bay, Maui"
USA,Florida,Okaloosa Island
USA,North Carolina,"Masonboro Island, New Hanover County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Manhattan Beach, Los Angeles County"
USA,California,"Oceano Dunes State Beach, San Luis Obispo County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,Delaware,"Cape Henlopen State Park, Sussex County"
USA,Texas,"West Beach, Galveston"
USA,Florida,Fort Lauderdale
USA,Palmyra Atoll,
USA,Florida,"Juan Ponce de Leï¿½n Landing, Melbourne Beach, Brevard County"
USA,Florida,"Jacksonville Beach, Duval County"
USA,Georgia,"Tybee Island, Chatham County"
USA,Florida,"Bethel Shoals, Indian River County"
USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,Delray Beach
USA,Florida,Macarthur State Park
USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County"
USA,Hawaii,
USA,Hawaii,"Ninole Bay, Hawaii County"
USA,Florida,"Cocoa Beach, Brevard  County"
USA,Hawaii,"Between  Makena & Molokini, Maui"
USA,Hawaii,"Keawekapu Beach, Kihei, Maui"
USA,Oregon,"Gleneden Beach, Lincoln County"
USA,New Jersey,"Bay Head, Ocean County"
USA,Florida,"Floridana Beach, Brevard County"
USA,Hawaii,"Kanaha Beach, Maui"
USA,Hawaii,"Waiehu, Maui"
USA,Hawaii,"Pila'a Beach, Kaua'i"
USA,Florida,Miami Beach
USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County"
USA,Florida,"Destin, Okaloosa County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"Panama City, Bay County"
USA,Florida,"Ormond Beach, Volusia County"
USA,Florida,"Carlin Park, Jupiter, Palm Beach County"
USA,Florida,"Casino Beach, Pensacola, Escambia County"
USA,Florida,"New Smyrna Beach,  Volusia County"
USA,South Carolina,"St. Helena Island, Beaufort County"
USA,Florida,"New Smyrna Beach,  Volusia County"
USA,Florida,"New Smyrna Beach,  Volusia County"
USA,Florida,"Ormond Beach, Volusia County"
USA,Florida,Key West Aquarium
USA,Florida,"St Augustine Beach, St Johns County"
USA,California,"Butterfly Beach, Montecito, Santa Barbara County"
USA,California,Catalina Channel
USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County"
USA,Hawaii,Pohoiki 
USA,California,"Pillar Point, Half-Moon Bay, San Mateo County"
USA,Hawaii,"Makenat, Maui"
USA,Hawaii,"Ka'a Point, Maui"
USA,South Carolina,Folly Beach
USA,Florida,"Sanibel Island, Lee County"
USA,Hawaii,"Ulua Beach, Maui"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,Hawaii,"White Plains Beach, Oahu"
USA,Alabama,"Gulf Shores, Baldwin County"
USA,Florida,"Butler Beach, St Augustine,       St. Johns County"
USA,North Carolina,Holden Beach. Brunswick County
USA,California,"Pacific State , San Mateo County"
USA,Florida,"Jacksonville, Duval County"
USA,South Carolina,"Kiawah Island, Charleston County"
USA,Hawaii,Kona Coast State Park
USA,Texas,"Surfside Beach, Brazoria County"
USA,Florida,"Atlantic Beach, Duval County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,Florida,"Off Snipe Point, Florida Keys, Monroe County"
USA,Hawaii,"Halewia, Oahu"
USA,Florida,"Ormond Beach, Volusia County"
USA,California,"Tourmaline Surf Park, San Diego County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"Near Boynton Beach, Palm Beach County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Jensen Beach, Martin County "
USA,Hawaii,Kaï¿½anapali Shores
USA,Hawaii,"Ka'anapali, Honokowai, Maui"
USA,Hawaii,"Paia Bay, Maui"
USA,Florida,"""Stuart Rocks"", Martin County"
USA,Hawaii,Kiholo Bay
USA,Florida,"Jensen Beach, Martin County "
USA,Hawaii,Kauai
USA,Hawaii,"Kihei, Maui"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Hawaii,"Makena Landing, Maui"
USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i"
USA,California,"Humboldt Bay, Eureka, Humboldt County"
USA,Hawaii,"Makena Landing, Maui"
USA,California,"Surf Beach, Lompoc, Santa Barbara County"
USA,Florida,"Seaport, Brevard County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Hawaii,"Kanaha Beach, Maui"
USA,Florida,Hobe Sound
USA,California,"Davenport Landing, Santa Cruz County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"Spanish House Beach, Brevard County"
USA,Florida," Cocoa Beach, Brevard  County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County"
USA,Florida,"South Beach, Miami-Dade County"
USA,Florida,"Neptune Beach, Duval County"
USA,Florida,"St. Augustine Beach, St. John's County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Spreckelsville, Maui"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Alabama,"Gulf Shores, Baldwin County"
USA,Florida,Key Largo
USA,California,"Topanga Beach, Los Angeles County"
USA,Hawaii,"Mahaï¿½ulepu Beach, Kauai"
USA,Massachusetts,"Ballston Beach, Truro, Cape Cod"
USA,North Carolina,"Ocean Isle, Brunswick County"
USA,North Carolina,"North Topsail Beach, Onslow County"
USA,California,"Pleasure Point, Santa Cruz County"
USA,Florida,"Juno Beach, Palm Beach County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Kahana Beach, Maui"
USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,North Carolina,"Ocean Isle, Brunswick County"
USA,Florida,"Summerland Key, Monroe County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,Florida,"Bethune Beach, Volusia County"
USA,South Carolina,"Myrtle Beach, Horry County"
USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County"
USA,Florida,"Jacksonville, Duval County"
USA,Hawaii,"Iroquiois Point, Oahu"
USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County"
USA,Florida,"Vero Beach, Indian River County"
USA,California,Off Catalina Island
USA,Florida,"Indialantic, Brevard County"
USA,Hawaii,"Leftovers near Chun's Reef, Oahu"
USA,Florida,"Sanibel Island, Lee County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Jensen Beach, Martin County "
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Playalinda Beach, Brevard County"
USA,Florida,"Palm Beach Inlet, Palm Beach County"
USA,Hawaii,Lanai
USA,Oregon,"Lincoln City, Lincoln County"
USA,Florida,"Jupiter, Palm Beach County"
USA,Florida,New Smyrna Beach
USA,Hawaii,"Makahuena Point, Kauai"
USA,Oregon,Seaside Cove
USA,California,Pigeon Point
USA,California,"Marina State Beach, Monterey County"
USA,Oregon,"Newport, Lincoln County"
USA,Florida,Cape Canaveral
USA,Oregon,Seaside
USA,Florida,"Santa Maria Island, Manatee County"
USA,Alabama,"Gulf Shores, Baldwin County"
USA,Puerto Rico,Hatillo Beach
USA,Florida,"Santa Maria Island, Manatee County"
USA,South Carolina,"North Myrtle Beach, Horry County"
USA,Hawaii,Kauai
